dob,firstName,height,playerId,lastName,nickname,positionGroupType
1997-02-05,Patrick,167.0,29,Roberts,Patrick Roberts,RW
1989-08-16,Moussa,187.0,79,Sissoko,Moussa Sissoko,CM
2000-11-23,Jack,181.0,87,Clarke,Jack Clarke,LW
1997-11-10,Daniel,171.0,137,James,Daniel James,RW
1999-12-04,Tahith,185.0,139,Chong,Tahith Chong,RW
1995-01-20,Calum,182.0,155,Chambers,Calum Chambers,RCB
1993-08-12,Will,195.0,229,Norris,Will Norris,GK
1996-04-07,Josh,175.0,270,Cullen,Josh Cullen,DM
1991-04-19,Steve,185.0,285,Cook,Steve Cook,RCB
1996-04-06,Jack,180.0,293,Stacey,Jack Stacey,RB
1997-03-04,Freddie,188.0,316,Woodman,Freddie Woodman,GK
1990-10-08,Karl,190.0,317,Darlow,Karl Darlow,GK
1989-09-10,Matt,173.0,326,Ritchie,Matt Ritchie,RM
1989-10-24,Jack,177.0,334,Colback,Jack Colback,DM
1997-01-18,Dan,184.0,338,Barlaser,Dan Barlaser,DM
1996-01-22,Angus,196.0,381,Gunn,Angus Gunn,GK
1999-02-22,Yan,185.0,391,Valery,Yan Valery,RB
1994-07-09,Daniel,191.0,408,Bachmann,Daniel Bachmann,GK
1999-11-04,Ben,188.0,412,Wilmot,Ben Wilmot,RCB
1999-09-17,Tom,178.0,424,Dele-Bashiru,Tom Dele-Bashiru,CM
1992-01-01,Shane,193.0,440,Duffy,Shane Duffy,RCB
1991-07-16,Andros,181.0,481,Townsend,Andros Townsend,RW
1993-01-15,Ben,185.0,491,Gibson,Ben Gibson,LCB
1995-12-19,Josh,179.0,500,Brownhill,Josh Brownhill,CM
1992-01-14,Robbie,176.0,501,Brady,Robbie Brady,LM
1989-07-29,Jay,185.0,507,Rodríguez,Jay Rodríguez,CF
1990-05-19,Simon,191.0,511,Moore,Simon Moore,GK
1993-09-01,Jack,180.0,521,Robinson,Jack Robinson,LCB
1994-08-05,Ben,176.0,529,Osborn,Ben Osborn,CM
1995-02-02,Callum,178.0,532,Robinson,Callum Robinson,CF
1991-11-20,Grant,188.0,545,Hanley,Grant Hanley,RCB
1993-09-16,Sam,183.0,551,Byram,Sam Byram,LB
1992-01-08,Kenny,180.0,555,McLean,Kenny McLean,CM
1995-12-16,Carlton,185.0,567,Morris,Carlton Morris,CF
2001-02-11,Adam,190.0,572,Idah,Adam Idah,CF
2000-09-07,Jeremy,184.0,577,Ngakia,Jeremy Ngakia,RB
1999-03-18,Lukas,198.0,584,Jensen,Lukas Jensen,GK
1997-10-19,Jimmy,191.0,585,Dunne,Jimmy Dunne,RCB
2001-01-30,Bobby,186.0,586,Thomas,Bobby Thomas,RCB
2002-04-06,Dennis,182.0,602,Cirkin,Dennis Cirkin,LB
2002-10-23,Kaine,175.0,607,Kesler,Kaine Kesler,RB
1998-08-12,Auston,190.0,676,Trusty,Auston Trusty,LCB
2001-11-16,Aidan,175.0,718,Morris,Aidan Morris,CM
2001-09-02,Luis,190.0,889,Binks,Luis Binks,LCB
2000-10-22,Brenden,177.0,1067,Aaronson,Brenden Aaronson,AM
2001-02-21,Borja,174.0,1495,Sainz,Borja Sainz,LW
1996-08-22,Junior,184.0,1514,Firpo,Junior Firpo,LB
1999-08-06,Jayson,176.0,1919,Molumby,Jayson Molumby,CM
1997-05-11,Max,175.0,1928,Lowe,Max Lowe,LB
2000-07-27,Jayden,178.0,1929,Bogle,Jayden Bogle,RB
2000-09-14,Ethan,182.0,1931,Ampadu,Ethan Ampadu,DM
2000-04-01,Rhian,180.0,1959,Brewster,Rhian Brewster,CF
1993-09-17,Joe,170.0,1972,Bryan,Joe Bryan,LB
2000-03-02,Illan,198.0,1993,Meslier,Illan Meslier,GK
1999-08-11,Pascal,190.0,1998,Struijk,Pascal Struijk,LCB
1991-08-25,Luke,183.0,2004,Ayling,Luke Ayling,RB
1996-06-30,Conor,191.0,2007,Shaughnessy,Conor Shaughnessy,RCB
1991-10-08,Adam,175.0,2008,Forshaw,Adam Forshaw,CM
1993-09-05,Patrick,185.0,2020,Bamford,Patrick Bamford,CF
2002-05-04,Joe,179.0,2022,Gelhardt,Joe Gelhardt,CF
1993-05-19,Jonathan,193.0,2026,Bond,Jonathan Bond,GK
1993-11-09,Semi,193.0,2027,Ajayi,Semi Ajayi,RCB
1991-05-22,Kyle,194.0,2029,Bartley,Kyle Bartley,RCB
1999-03-04,Dara,189.0,2031,O'Shea,Dara O'Shea,RCB
1995-10-31,Darnell,183.0,2034,Furlong,Darnell Furlong,RB
1998-05-08,Sam,191.0,2039,Field,Sam Field,DM
1997-09-18,Karlan,183.0,2078,Grant,Karlan Grant,CF
1997-10-22,Joe,193.0,2083,Rodon,Joe Rodon,RCB
1998-12-27,Josh,181.0,2131,Maja,Josh Maja,CF
2003-01-14,Caleb,188.0,3093,Taylor,Caleb Taylor,RCB
2001-12-30,Taylor,188.0,3094,Gardner-Hickman,Taylor Gardner-Hickman,CM
2002-04-28,Femi,183.0,3196,Seriki,Femi Seriki,RB
2000-12-06,Anthony,182.0,3904,Musaba,Anthony Musaba,RW
2001-12-23,Stefan,188.0,4082,Bajic,Stefan Bajic,GK
2002-07-15,Adil,181.0,4099,Aouchiche,Adil Aouchiche,AM
1994-05-18,Paul,188.0,4338,Nardi,Paul Nardi,GK
2001-01-01,Yasser,176.0,4371,Larouci,Yasser Larouci,LB
2001-09-09,Jonathan,190.0,4512,Varane,Jonathan Varane,CM
2002-05-26,Maxime,193.0,4519,Esteve,Maxime Esteve,LCB
2002-04-20,Georginio,182.0,4886,Rutter,Georginio Rutter,CF
1992-08-07,Wout,197.0,5009,Weghorst,Wout Weghorst,CF
2002-07-15,Fally,193.0,5014,Mayulu,Fally Mayulu,CF
1998-04-08,Shandon,180.0,5067,Baptiste,Shandon Baptiste,CM
1997-09-22,Jake,188.0,5084,Clarke-Salter,Jake Clarke-Salter,LCB
1995-04-25,Lewis,182.0,5087,Baker,Lewis Baker,CM
1998-03-03,Jacob Lungi,184.0,5104,Sörensen,Jacob Lungi Sörensen,DM
2001-10-08,Bali,168.0,5105,Mumba,Bali Mumba,RB
